"corpus","preloaded/trends_en"
"subcorpus","-"
"concordance size","10000"
"query","Query:alemma,[word=""black""][word=""leather""];Random sample:10000"
"Reference","Left","KWIC","Right"
"2018-01-20","latest model to throw it back? </s><s> None other than Kaia Gerber, who stepped out in Paris during Men''s Fashion Week wearing a","black leather","trench coat, white T-shirt and cropped denim. </s><s> For added cool factor, the 16-year-old accessorized the look with tiny"
"2018-01-30","theme skewed, as the designer put it in his notes, ""Dorian Gray meets Lucy Honeychurch,"" however the white tweeds with","black leather","cabochon trim could just as easily speak for themselves. </s><s> The fully sequined tuxedo jacket or the green velvet number"
"2018-01-30","""There had been an argument between the complainer and the accused about a failure to attend army cadets. </s><s> He removed the","black leather","belt from around his trousers and struck her on the legs. </s><s> She was crying and upset."" </s><s> The attack took place on October 10"
"2018-02-25","other on the runway. </s><s> Hadid - who also has a Hilfiger-clad Barbie doll in her image - opened the show with a pair of blue and","black leather","racing leggings (499 euros) and a Hilfiger bandeau top, and closed in a long diaphanous layered maxidress with racing"
"2018-03-27","callipers and an exterior carbon package. </s><s> The interior of the car features 12-way power sport seats, full premium","black leather","upholstery with red stitching as well as the red embroidered trident on the headrests, gearshift paddles and door"
"2018-04-29",", 1974 ($2,500 to $3,500 and $1,200 to $1,800, respectively). </s><s> Also available is the deluxe limited edition in zippered","black leather","of Skeleton Crew, 1985, previously in the collection of the illustrator, J.K. Potter, in which he wrote, ""This, my own"
"2018-06-01","brought in and touching him on the arm. </s><s> Trabelsi, who was originally being held in Parklea Correctional Centre, wore a","black leather","jacket, had a full beard and glasses and sat beside an Arabic interpreter. </s><s> The couple, who on social media accounts"
"2018-06-22","! </s><s> A blue hoodie advertising a fictional laundry came with a tape measure drawstring hood. </s><s> A nice studded hand-painted","black leather","jacket was worn over a pair of patched black jeans that included over-shorts. </s><s> There were a couple of women''s looks that"
"2018-07-17","the same wig as she attended a photocall for short film series Women''s Tales at the film festival </s><s> The Whitney star wore a","black leather","mini dress and matching heels which featured a fur pouf as her porcelain complexion were covered with a sheer makeup"
"2018-07-17","black pencil skirt, as she attempted to bowl in her towering ankle boots </s><s> Rocker chic: Teaming her stylish look with a","black leather","jacket, Karen looked happier than ever just a month after announcing she had split from husband Kevin </s><s> Sensational:"
"2018-07-18","and polka dot pattern. </s><s> Injecting a dose of rocker cool into her look, she accessorised with a heavy-duty pair of","black leather","biker boots. </s><s> Meanwhile, Alycia looked chic in a black and white ikat print jumpsuit, which cinched in her slender waist"
"2018-07-18","a long-sleeved black sweatshirt that showcased her midriff, grey leggings, black sneakers, accessorizing with a","black leather","ballcap over her blonde locks and dark sunglasses. </s><s> The Real Housewives of Miami star, who has four children with the"
"2018-08-20","Langella has also joined the cast. </s><s> Now sporting a long ""Buster Brown"" haircut and looking comfortable dressed in a","black leather","jacket and tee-shirt, during most of the interview Carrey had a big grin on his friendly face. </s><s> But it gave way to"
"2018-08-29","water effect with the tap of a finger."" </s><s> The new On Full Guard 2.5 smartwatch will come in four styles, a matte steel with","black leather","strap, a gunmetal case with a brown strap, a matte black steel case with a black silicone strap, and finally a gunmetal"
"2018-09-04","selling point: the home theater, which is outfitted with a patterned carpet and wall treatments, and rows of cushy","black leather","seats. </s><s> Imagine screening Jonas Brothers: The 3D Concert Experience there! </s><s> No news on if Jonas and Turner have"
"2018-09-09","figure as she debuts THIRD outfit of the day </s><s> And Heidi Klum proved on trend as she was spotted flashing her killer legs in","black leather","strap leggings during an outing in New York City on Tuesday. </s><s> The 45-year-old supermodel looked sensational in the"
"2018-09-09","sweatshirt and Mother jeans </s><s> The flawless stunner looked like she stepped out of the Matrix movies with her formfitting","black leather","tights. </s><s> An American flag with a bald eagle was imprinted on her casual tee which was covered by a sophisticated chic"
"2018-09-10",", red skinny jeans, a folding electric bike and a BMW cup holder. </s><s> Also on offer is a Zara women''s silver jacket, 14 pairs of","black leather","gloves, a Jack Wills bodywarmer and men''s thermal t-shirts from Next. </s><s> Bargain hunters can get their hands on a pair of"
"2018-09-20","family looked stylish, proving to be just as capable of modelling the brand as those on the catwalk. </s><s> Barbara sported a","black leather","jacket with yellow detailing, black baggy pants and silver heels. </s><s> Elias wore a matching blazer and shorts over a white"
"2018-09-25","apartment Tuesday morning </s><s> Making the best of it: Ivanka had a bright smile on her face as she stepped outside holding a","black leather","handbag while her husband walked close behind her </s><s> ''Didn''t expect that reaction but that''s okay,'' he said with a smile,"
"2018-10-11","form-fitting dress or skirt and bustier combo, sexy high heels, a sequined mask and handcuffs. </s><s> Danny: White tee shirt,","black leather","jacket, black jeans, and black boots. </s><s> Hair should be style with a good amount of gel. </s><s> Sandy: Black top, black leggings or"
"2018-10-11","Jeffries flashed her tummy in a white crop top as she hit a party at Delilah in West Hollywood. </s><s> The DJ added skintight","black leather","slacks to highlight her long, toned legs. </s><s> Looking fine: Chantel Jeffries looked fashion savvy as she hit a party at"
"2018-10-17","? </s><s> Is the Dino that the audience is seeing just a persona, not the real person? </s><s> Dino Brewster as a snarky douchebag in a","black leather","jacket isn''t interesting. </s><s> Dino Brewster as a character who''s diametrically opposite to Tobey Marshall, but still has"
"2018-10-18","tens of dollars feeding everyone. </s><s> Man of the moment Drake rocked up to the venue looking cool as ever in black jeans and a","black leather","bomber jacket, with a pair of crisp white Nikes. </s><s> Framer: Pia Mia and YouTuber Jeff Whittek made sure to get that branding"
"2018-10-19","all the hottest Fall 2018 fashion shows to see which trends reigned supreme. </s><s> From a huge 1980s fashion revival (think","black leather","and oversized wear) to snake skin and plaid, these are the fall trends to keep on the radar. </s><s> During the fall, I always go"
"2018-11-01","by the star herself. </s><s> In a video that Alisher had dedicated to the singer Pugacheva looks very impressive. </s><s> Wearing a","black leather","jacket, leather coat, tight ripped jeans, loose t-shirt with prints and inscriptions and several large metal chains,"
"2018-11-22","cuisine on Wednesday night while still in London, heading to hot spot Ikoyi. </s><s> The iconic model, 48, looked chic in a","black leather","tassel skirt and shades as she strutted to the Michelin-starred eatery. </s><s> Naomi chose an unusual tassel skirt for her"
"2018-12-02","off Grafton Street, she made her entrance into Lillie''s. </s><s> And what an entrance. </s><s> Clad head to tippy-toe in bewitching","black leather",", she should have played Catwoman in Batman. </s><s> It was the early 1990s. </s><s> I had rung Karla from the pay-phone in the lobby of the"
"2018-12-03",", I met with Esin Baskaya at Broken Coconut. </s><s> She arrives wearing a white T-shirt with loose black pants and metallic","black leather","boots. </s><s> While she orders an antioxidant-rich matcha, I go for my third Americano of the day. </s><s> We take the corner booth,"
"2018-12-04","block of Darbyshire Drive. </s><s> She stated this was the second time this has happened recently. </s><s> ""She advised they took a big","black leather","bag with long straps. </s><s> She stated it has a gold pattern on one side. </s><s> She advised she didn''t have anything of value inside,"
